韓国語,品詞,日本語訳,定義,target_codes
-되다,接辞,られる・される,「受身」の意味を添加し、動詞を作る接尾辞。 | 形容詞を作る接尾辞。,74902
-드리다,接辞,いたす【致す】,「丁寧な行為」の意を付加し、動詞にする接尾辞。,92135
-들,接辞,たち・ら【達】,「複数」の意を付加する接尾辞。,74906
-하다,接辞,する | だ。である | する。だ。である | する。だ。である | する。だ。である,「それを行う」または「それと関連した行為をする」の意を付加し、動詞を作る接尾辞。 | 「その状態である」という意を付加し、形容詞を作る接尾辞。 | 「そのような音を出す」または「そのような模様である」という意を付加し、動詞や形容詞を作る接尾辞。 | 「そのような模様である」、「そのような状態である」、「そのような性質を持っている」という意を付加し、動詞や形容詞を作る接尾辞。 | 「そのようになる」、「そのような状態である」、「そのような性質である」という意を付加し、動詞や形容詞を作る接尾辞。 | 「そうである」という意を付加し、動詞や形容詞を作る接尾辞。,88475
가게,名詞,みせ【店】。しょうてん【商店】,小規模で品物を並べて売る店。,17287
가겟집,名詞,みせ【店】。てんぽ【店舗】。しょうてん【商店】。ストア,店を開いて商売をする場所。,15032
가격,名詞,かかく【価格】。ねだん【値段】。ねうち【値打ち】。プライス,品物の価値を金で表したもの。,62450
가격표,名詞,かかくひょう【価格表】 | ねふだ【値札】,商品の値段やサービスの価格が見やすいように書いておく表。 | 商品につけたり、つけておいたりするふだ。,27761
가구,名詞,かぐ【家具】,家の中で使われるベッドやクロゼット、食卓などのような器具。,62492
가구점,名詞,かぐや【家具屋】。かぐてん【家具店】,家具を売る店。,28042
가까워지다,動詞,ちかづく【近付く】。ちかくなる【近くなる】 | ちかくなる【近くなる】。したしくなる【親しくなる】 | ちかづく【近付く】 | ちかづく【近付く】。ちかくなる【近くなる】 | ちかづく【近付く】。ちかくなる【近くなる】 | ちかづく【近付く】。せまる【迫る】,ある場所から他の場所までの距離が短くなる。 | 間柄が親密になる。 | ある数値に近づく。 | 一定の水準や程度などにほとんど到達する。 | あるものと性質や状態などがほぼ等しくなる。 | 時間的に近くなる。,59888
가까이,名詞/副詞,ちかく【近く】。きんじょ【近所】 | ちかく【近く】 | ちかく【近く】 | ちかく【近く】 | したしく【親しく】,遠くなく、近い所。 | ある基準にほぼ達している程度。 | 距離が遠くなく。 | ある基準にほぼ達するように。 | 互いに親しく。,"62493,62494"
가까이하다,動詞,したしむ【親しむ】。ちかよる【近寄る】 | したしむ【親しむ】,親しくする。 | 何かが好きで、身近において楽しむ。,28056
