韓国語,品詞,日本語訳,定義
그래,感動詞,そう,「そうする。そうである。わかった」などという肯定の返事をする時にいう語。
아,感動詞,あ。あら。や。おお。わあ,驚き、うろたえ、焦りなどの感情を表す時に発する語。
아뇨,感動詞,いいえ,目上の人からの質問に対し、否定の意を表して答える時にいう語。
아니야,感動詞,いや,問いに対して強調しながら、または強く否定して答えるのに用いる語。
아니요,感動詞,いいえ,目上の人の問いに対し、否定して答えるのに用いる語。
아야,感動詞,いてっ,突然痛みを感じた時に思わず口から出てくる声。
야,感動詞,やあ。おや,驚いた時や誰かに会ってうれしい時に出す声。
어,感動詞,あ。あら。や。おお。わあ,驚き、うろたえ、焦りなどの感情を表す時に発する語。
여보세요,感動詞,もしもし,近くにいる相手に呼びかけるときにいう語。
예,感動詞,はい,目上の人に呼ばれた時に答える語。
우,感動詞,うう,つまらないことや間違いなどを非難したり皮肉ってからかう時に出す声。
우아,感動詞,わ。わあ,思いもかけない出来事に嬉しくて発する語。
우와,感動詞,わあ。うわー,思いがけない良いことで、嬉しかったり驚いたりした時に出す声。
우우,感動詞,,相手をあざけったりからかったりする時に発する語。
으응,感動詞,うん。ああ,反問したり肯定したりする時にいう語。
파이팅,感動詞,ファイト,スポーツで、「頑張れ」「しっかりやれ」などの意のかけ声。
저,感動詞/冠形詞/代名詞,わたくし【私】 | あれ【彼】 | あの【彼の】 | あの【彼の】。あのう,目上の人に対して自分をへりくだっていう語。 | 話し手と聞き手から遠く離れている対象を指す語。 | 話し手と聞き手から遠く離れている対象を指す語。 | 言葉に詰まった時に用いる語。
네,感動詞/冠形詞/代名詞/品詞なし,おまえ【お前】。きみ【君】 | よっつの【四つの】	 | はい　 | あなたの。きみの【君の】。おまえの【お前の】,"二人称代名詞「너」に主格助詞「가」があとにつく場合の形。 | 四つの。
 | 目上の人の呼びかけに答える時にいう語。 | ｢너의｣の縮約形。"
뭐,感動詞/代名詞,なん・なに【何】 | なに【何】。ええっ。はあ,知らない事実・事物を指す語。 | 驚いた時に出す声。
어디,感動詞/代名詞,どこ,"知らない場所を指す語。
 | ある事を成し遂げようとして、機会をうかがったり念を押したりするのに用いる語。"
후,感動詞/名詞,ふう | あと【後】,仕事が大変だったり心配なことがあった時に、息を大きく長く吐き出す声。 | ある程度の時間が過ぎた後。
그럼,感動詞/副詞,"それなら。ならば
 | そうだとも。そうとも。もちろん。たしかに【確かに】","前の内容が後ろの内容の条件になる時に用いる語。
 | 言うまでもなく当然だという意味で答える時にいう語。"
아니,感動詞/副詞,いや。いえ。ううん,"用言の前について否定や反対の意を表す語。
 | 目下の人、または年齢や地位が同等な人からの質問に対して否定の意を表して答える時にいう語。"
와,感動詞/助詞,わ。わあ | と,思いもかけない出来事に嬉しくて発する語。 | 比較の対象や基準となる対象であることを表す助詞。
그런,冠形詞,そんな。そのような。そうした。そういう,状態・模様・性質などがそのようなさま。
다른,冠形詞,ほかの【他の】。べつの【別の】,当該すること以外の。
두,冠形詞,に【二】。ふたつ【二つ】,二つの。
두세,冠形詞,にさん【二三】。ふたつみっつ【二つ三つ】,2か3ぐらいの。二つか三つぐらいの。
모든,冠形詞,すべての。あらゆる。ぜん【全】,欠落したり余ったりせず、全部であるさま。
무슨,冠形詞,なに【何】。なんの。どの。どのような。どういう,確実でないか、よく知らないこと、対象、ものなどを聞く時に使う語。
서너,冠形詞,さんよん【三四】,3か４の。
스무,冠形詞,にじゅう【二十】,20の。
어느,冠形詞,どの。どんな,多くの中でどんな。
어떤,冠形詞,どんな。どのような。どういう,人や物の特徴、内容、性格、形などについて聞く時に用いる語。
여러,冠形詞,いくつかの【幾つかの】。ふくすうの【複数の】。おおくの【多くの】。いろいろな【色色な】,多くの。
이런,冠形詞,こんな,状態、形、性質などがこのような。
저런,冠形詞,あんな,状態、形、性質などがあのような。
그,冠形詞/代名詞,かれ【彼】 | その,話し手や聞き手を除いた人をさす語。 | 空間的に聞き手に近い人や物、または聞き手が考えている対象をさすときに使う語。
아무,冠形詞/代名詞,だれ【誰】 | どの。なんの【なんの】。なに【何】。どんな,特定されていない人をさす語。 | 特定されていない人や物事をさす語。
이,冠形詞/代名詞/名詞/数詞,"は【歯】。しが【歯牙】
 | これ【此れ】 | この
 | に【二】 | に【二】","人間や動物の口の中にあり、何かを噛んだり食物を咀嚼したりする器官。
 | 話し手の近くにあるものや話し手が考えていることを指す語。 | 話し手の近くにあるか、話し手が考えている対象を指す語。
 | １に１を足した数。 | 2の。"
