word,pos,meaning,definition,target_codes
가게,名詞,みせ【店】。しょうてん【商店】,小規模で品物を並べて売る店。,17287
가겟집,名詞,みせ【店】。てんぽ【店舗】。しょうてん【商店】。ストア,"店を開いて商売をする場所。
",15032
가격,名詞,かかく【価格】。ねだん【値段】。ねうち【値打ち】。プライス,"品物の価値を金で表したもの。
",62450
가격표,名詞,かかくひょう【価格表】,商品の値段やサービスの価格が見やすいように書いておく表。,27761
가구,名詞,かぐ【家具】,家の中で使われるベッドやクロゼット、食卓などのような器具。,62492
가구점,名詞,かぐや【家具屋】。かぐてん【家具店】,"家具を売る店。
",28042
가까워지다,動詞,ちかづく【近付く】。ちかくなる【近くなる】,ある場所から他の場所までの距離が短くなる。,59888
가까이,副詞/名詞,"ちかく【近く】。きんじょ【近所】 | ちかく【近く】
","遠くなく、近い所。 | 距離が遠くなく。
","62493,62494"
가까이하다,動詞,したしむ【親しむ】。ちかよる【近寄る】,親しくする。,28056
가깝다,形容詞,ちかい【近い】,ある地点から遠く離れていない。,65200
가끔,副詞,"たまに
","稀に1回ずつ。
",65204
가늘다,形容詞,ほそい【細い】,物の幅が狭い、または太くなく長い。,62497
가다,動詞,ゆく・いく【行く】。うつる【移る】,ある場所から他の場所へ移動する。,27500
각각,副詞/名詞,それぞれ。おのおの | それぞれ,多くのものを一つずつ離した一つ一つのもの。 | 一つ一つ、別々に。,"29229,29233"
간단하다,形容詞,かんたんだ【簡単だ】,長くない、または複雑でなない。,70702
간단히,副詞,かんたんに【簡単に】,物事が長くならないように。または、複雑でないように。 ,16200
간식,名詞,"かんしょく【間食】。あいだぐい【間食い】。おやつ【お八つ】
","食事と食事の間に食べるちょっとした食べ物。
",70703
간장,名詞,カンジャン,料理の塩加減をするのに使う、塩っぱい味の黒い液体。,70704
갈비,名詞,カルビ。ばらにく【ばら肉】,料理の材料に使われる牛、豚、鶏などのあばら骨とそこに付いている肉。また、それで作った料理。,57275
갈색,名詞,ちゃいろ【茶色】。ブラウン。かっしょく【褐色】,黒色とオレンジ色の中間の色で、乾いた木の葉のような色。,14752
갈아입다,動詞,きがえる【着替える】,着ていた服を脱いで、別の服に替えて着る。,53830
갈아타다,動詞,のりかえる【乗り換える】,乗っていたものから降りて、別のものに換えて乗る。,15437
감,名詞,かき【柿】,"丸かったり、平たく丸みのある模様で、熟す前は渋いが、熟すと甘い味がするだいだい色の果物。
",70707
감기,名詞,かぜ【風邪】。かんぼう【感冒】,一般的に咳・鼻水・頭痛・悪寒などの症状がある、伝染性のある疾病。,28635
감기약,名詞,かぜぐすり【風邪薬】。かんぼうやく【感冒薬】,風邪を治療するのに用いる薬。,17216
감다,動詞,とじる【閉じる】。つぶる・つむる【瞑る】 | あらう【洗う】,まぶたで目を覆う。 | 髪や体を水で洗う。,"45747,17220"
감사,名詞,かんしゃ【感謝】,ありがたいと思うこと。また、その気持ち。,46944
감사하다,動詞/形容詞,かんしゃする【感謝する】 | かんしゃする【感謝する】,ありがたいと思う。 | ありがたい気持ちがある。,"71728,63820"
감상,名詞,かんそう【感想】,物事について心に感じたことや思ったこと。,14239
갑자기,副詞,"きゅうに【急に】
","考える間もなくいきなり。
",26797
값,名詞,"ね【値】。ねだん【値段】。かかく【価格】
","売買する物に一定につけられた金額。
",20178
강,依存名詞/名詞,"かわ【河・川】。たいが【大河】。かせん【河川】
 | きょう【強】","海に入り込む広くて長い水の流れ。
 | 一定の範囲内に入る強者。","30203,600479"
강냉이,名詞,とうもろこし,茎が高くて葉は長く、ひげのような花が咲き、粒が細かい実のなる植物。,17535
갖다,動詞/補助動詞,もつ【持つ】。たずさえる【携える】 | て	,何かを手に握ったり、身に付けたりする。 | 前の言葉の表す行動の結果や状態が維持されるという意を表す「補助動詞」。,"29738,73401"
같다,形容詞,おなじだ【同じだ】,互いに異ならない。,62076
같아지다,動詞,おなじくなる【同じくなる】。ひとしくなる【等しくなる】,同じになる。,22770
같이,副詞,"いっしょに【一緒に】・ともに【共に】
","二人以上が一緒に。
",26799
갚다,動詞,かえす【返す】。へんさいする【返済する】,借りた物を元の所有者に戻す。,15728
개,依存名詞/名詞,"いぬ【犬】
 | こ【個】","臭覚や聴覚が鋭く、利口で人に良くなつくため、狩りやペットの目的で飼う動物。
 | 個々になっているものを数える単位。","64115,22784"
거,依存名詞,もの【物】,ある物事や現象、または事実。,62331
거기,代名詞,そこ。そちら。	,"聞き手に近い場所をさす語。
",62258
거리,依存名詞/名詞,"まち【街・町】。とおり【通り】
 | たね【種】","人や車が行き交う道。
 | 内容となるにふさわしい対象や材料。","20187,64727"
걱정,名詞,"しんぱい【心配】。けねん【懸念】。ゆうりょ【憂慮】
","よくない事があるのではないかと思って、怖くて不安なこと。
",17232
걱정되다,動詞,しんぱいされる【心配される】。おもいやられる【思いやられる】,"よくないことがあるのではないかと思って、恐ろしくて不安だ。
",15866
걱정하다,動詞,しんぱいする【心配する】,"よくないことがあるのではないかと思って、恐ろしくて不安だ。
",60091
건강,名詞,けんこう【健康】,心身に異常のない丈夫な状態。,36670
건강 관리,,けんこうかんり【健康管理】	,"疾病を予防し、体を健康な状態に維持するために努力すること。
",21616
건강하다,形容詞,けんこうだ【健康だ】。げんきだ【元気だ】,"心身に異常がなく丈夫だ。

",17317
건너가다,動詞,わたる【渡る】。わたっていく【渡っていく】,"川や橋、道路などを隔ててこちらからあちらに行く。
",60092
건너다,動詞,わたる【渡る】,"何かを越えたり通り過ぎたりして向うへ移動する。
",53853
건너오다,動詞,わたる【渡る】。わたってくる【渡ってくる】,"川や橋、道路などを隔ててあちらからこちらに来る。
",54905
건너편,名詞,むかいがわ【向かい側】。むこうがわ【向こう側】,見合わせているあちらの側。,46806
건물,名詞,たてもの【建物】,住居・業務・物品の保管などの目的で造った、壁と屋根がある建造物。,28029
걷다,動詞,あるく【歩く】,"地面から足を交互に離して動きながら位置を変える。
",29667
걸다,形容詞,ひよくだ【肥沃だ】,土壌や土が肥えていて、養分が多い。,25461
걸리다,動詞,かかる【掛かる】,"ある物が落ちずにどこかにぶら下がる。
",86940
걸어가다,動詞,あるいていく【歩いていく】。あゆんでいく【歩んでいく】,"目的地に向かって、足を動かして進む。
",32042
걸어오다,動詞,あるいてくる【歩いてくる】。あゆんでくる【歩んでくる】,"目的地に向かって、足を動かして移ってくる。
",64368
걸음,名詞,"あゆみ【歩み】。ほこう【歩行】
","両足を片方づつ交互に前に出して進む動作。
",25578
검사,名詞,"けんさ【検査】
",ある出来事や対象について良し悪しや是非などを調べること。,17236
검사하다,動詞,けんさする【検査する】,"ある出来事や対象について良し悪しや是非などを調べる。 
",25239
검은색,名詞,くろいろ【黒色】,光がない時の夜空や、墨のような色。,31663
검정말,名詞,"くろげ【黒毛】
","毛色の黒い馬。
",30060
검정색,名詞,くろいろ【黒色】,光がない時の夜空や墨のような色。,15935
검정콩,名詞,くろまめ【黒豆】,皮の色が黒い豆。,30061
것,依存名詞,こと。の。もの【物】,正確に指す対象が決まってないものや事実。,62835
겉,名詞,"おもて【表】。ひょうめん【表面】。そと【外】
","裏表のある物の外側の部分。
",31329
게스트,名詞,"ゲスト
",放送番組に招待されて出る人。,26780
게으르다,形容詞,"ぶしょうだ【不精だ】。ものぐさだ
","行動がのろく、身体を動かしたり仕事をするのを面倒くさがる。

",15948
게이머,名詞,ゲーマー,オンラインゲームやコンピューターゲームをする人。,28438
게임,名詞,"ゲーム。あそびごと【遊びごと】
","ルールを決めて勝ち負けを決める遊び。
",57276
게임기,名詞,"ゲームき【ゲーム機】
",ゲームができるように作った電子機械。,28442
게임방,名詞,ゲームルーム,コンピューターゲームができるように施設を取り付けているルーム。,28445
겨울,名詞,"ふゆ【冬】。とうき【冬季】
","四季の中で最も寒く、秋と春の間の季節。
",64367
겨울 방학,,"ふゆやすみ【冬休み】。とうききゅうぎょう【冬季休業】。とうききゅうか【冬季休暇】
","冬の一番寒い時期に学校の授業をしばらく休みにすること。また、その期間。
",28476
겨울나무,名詞,ふゆき・ふゆぎ【冬木】,冬になって葉が落ち尽くして枝だけの姿になった木。,28471
겨울날,名詞,とうじつ・ふゆび【冬日】,冬の日。,28472
겨울눈,名詞,ふゆめ・とうが【冬芽】,晩夏から秋に形成され、越冬した後、翌年の春に伸びる芽。,28473
겨울바람,名詞,ふゆかぜ【冬風】。ふゆのかぜ【冬の風】,冬に吹く冷たい風。,28475
겨울비,名詞,ふゆさめ【冬雨】。ふゆのあめ【冬の雨】,冬に降る雨。,28477
겨울옷,名詞,ふゆふく【冬服】,冬に着用する衣服。,28480
결과,名詞,けっか【結果】,"あることや過程が終わった後の状態や現象。
",60093
결석,名詞,"けっせき【欠席】
",学校や会議などの公式的な場に出ないこと。,15967
