word,pos,meaning,definition,target_codes
그래,감탄사,そう,「そうする。そうである。わかった」などという肯定の返事をする時にいう語。,27656
아,감탄사,あ。あら。や。おお。わあ,驚き、うろたえ、焦りなどの感情を表す時に発する語。,16247
아뇨,감탄사,いいえ,目上の人からの質問に対し、否定の意を表して答える時にいう語。,65978
아니야,감탄사,いや,問いに対して強調しながら、または強く否定して答えるのに用いる語。,29726
아니요,감탄사,いいえ,目上の人の問いに対し、否定して答えるのに用いる語。,17189
아야,감탄사,いてっ,突然痛みを感じた時に思わず口から出てくる声。,66854
야,감탄사,やあ。おや,驚いた時や誰かに会ってうれしい時に出す声。,58149
어,감탄사,あ。あら。や。おお。わあ,"驚き、うろたえ、焦りなどの感情を表す時に発する語。
",26153
여보세요,감탄사,もしもし,近くにいる相手に呼びかけるときにいう語。,17866
예,감탄사,はい,目上の人に呼ばれた時に答える語。,73966
우,감탄사,うう,つまらないことや間違いなどを非難したり皮肉ってからかう時に出す声。,70048
우아,감탄사,わ。わあ,"思いもかけない出来事に嬉しくて発する語。 
",91716
우와,감탄사,わあ。うわー,思いがけない良いことで、嬉しかったり驚いたりした時に出す声。,600966
우우,감탄사,,相手をあざけったりからかったりする時に発する語。,87454
으응,감탄사,うん。ああ,反問したり肯定したりする時にいう語。,71106
파이팅,감탄사,ファイト,スポーツで、「頑張れ」「しっかりやれ」などの意のかけ声。,82434
저,감탄사/관형사/대명사,わたくし【私】 | あれ【彼】 | あの【彼の】 | あの【彼の】。あのう,目上の人に対して自分をへりくだっていう語。 | 話し手と聞き手から遠く離れている対象を指す語。 | 話し手と聞き手から遠く離れている対象を指す語。 | 言葉に詰まった時に用いる語。,"44506,71214,71215,71216"
네,감탄사/관형사/대명사/품사 없음,おまえ【お前】。きみ【君】 | よっつの【四つの】	 | はい　 | あなたの。きみの【君の】。おまえの【お前の】	,"二人称代名詞「너」に主格助詞「가」があとにつく場合の形。 | 四つの。
 | 目上の人の呼びかけに答える時にいう語。 | ｢너의｣の縮約形。 
","89180,64556,17294,84427"
뭐,감탄사/대명사,なん・なに【何】 | なに【何】。ええっ。はあ,知らない事実・事物を指す語。 | 驚いた時に出す声。,"84991,27525"
어디,감탄사/대명사,"どこ
","知らない場所を指す語。
 | ある事を成し遂げようとして、機会をうかがったり念を押したりするのに用いる語。","60319,60320"
