word,pos,meaning,definition,tags,target_codes
-가,接辞,か【家】 | け【家】 | か【歌】	,"「その姓を持つ人」の意を付加する接尾辞。 
 | 「それを専門にする人」または「それを職業にする人」の意を付加する接尾辞。 | 「一族」の意を付加する接尾辞。 | 「歌」の意を付加する接尾辞。 
",接辞 level2,"72337,72338,72339,72342"
-가량,接辞,くらい・ぐらい【位】。ほど【程】。ばかり。ぜんご【前後】	,"「程度」の意を付加する接尾辞。
",接辞 level2,72344
-간,接辞,"かん【間】
",「あいだ」の意を付加する接尾辞。,接辞 level2,72346
-감,接辞,かん【感】	,"「感情」の意を付加する接尾辞。 
",接辞 level2,72347
-객,接辞,きゃく【客】	,"「客」または「人」の意を付加する接尾辞。 
",接辞 level2,72350
-거리다,接辞,,「その状態が相次いで続く」という意を付加し、動詞にする接尾辞。,接辞 level2,92111
-곡,接辞,きょく【曲】	,"「歌」または「楽曲」の意を付加する接尾辞。 
",接辞 level2,72364
-관,接辞,かん【館】	 | かん【観】	,"「建物」または「機関」の意を付加する接尾辞。
 | 「観点」または「見解」の意を付加する接尾辞。 
",接辞 level2,"72368,72369"
-광,接辞,きょう【狂】。マニア	,"「熱狂的に集中する人」の意を付加する接尾辞。 
",接辞 level2,70323
-구-,接辞,させ	,"「使役」の意を付加する接尾辞。 
",接辞 level2,72332
가-,接辞,かり【仮」	,"「偽物の」または「臨時の」の意を付加する接頭辞。
",接辞 level2,72340
가가호호,名詞,いえごと【家ごと】。こごと【戸ごと】,一軒一軒。,名詞 level2,14875
가격 인상,,ねあげ【値上げ】。かかくひきあげ【価格引き上げ】	,"値段や料金を高くすること。
",level2,15065
가격 인하,,ねさけ【値下げ】。かかくひきさげ【価格引き下げ】	,"値段や料金を安くすること。
",level2,15082
가격 파괴,,かかくはかい【価格破壊】。げきやす【激安】	,"通常知られた価格に比べて物の価格を極めて安くすること。
",level2,27753
가격대,名詞,かかくたい【価格帯】,物やサービスなどの価格の範囲。,名詞 level2,600018
가계약,名詞,かりけいやく【仮契約】。かりやくそく【仮約束】,臨時の契約。,名詞 level2,27927
가공성,名詞,かこうせい【加工性】,技術や力などによって原料や材料が新しい製品につくられる性質。,名詞 level2,27965
가공식품,名詞,かこうしょくひん【加工食品】,保存性と調理の利便性を高めるために原料を特別な方法で加工して新しくつくった食品。 ,名詞 level2,27968
가공품,名詞,かこうひん【加工品】。かこうせいひん【加工製品】,原料や材料を加工して新しくつくった製品。,名詞 level2,28025
가구재,名詞,かぐざい【家具材】かぐのざいりょう【家具の材料】,家具をつくるための材料。,名詞 level2,28041
가극,名詞,かげき【歌劇】。オペラ,台詞を音楽の演奏に合わせて歌う西洋式演劇。,名詞 level2,28043
가꾸다,動詞,さいばいする【栽培する】。そだてる【育てる】。つくる,植物がよく育つように世話をする。,動詞 level2,28757
가난,名詞,びんぼう【貧乏】。まずしさ【貧しさ】,金がなくて生活が苦しいこと。また、その状態。,名詞 level2,16391
가난뱅이,名詞,びんぼうにん【貧乏人】,貧しい人を卑しめていう語。,名詞 level2,28069
가난하다,形容詞,まずしい【貧しい】。びんぼうだ【貧乏だ】,お金がなくて生活が苦しい。,形容詞 level2,62495
가능,名詞,かのう【可能】,"出来たりなりうること。
",名詞 level2,15310
가능성,名詞,かのうせい【可能性】,物事が将来実現できる性質。,名詞 level2,62399
가능하다,形容詞,かのうだ【可能だ】。できる【出来る】,やることができる、可能である。,形容詞 level2,62658
가다,補助動詞,いく	,前の言葉の表す動作や状態・状態の変化が継続したり進行したりする意を表す「補助動詞」。,補助動詞 level2,28764
각,名詞,かど【角】,面と面が出合って生じるかど。,名詞 level2,14650
각국,名詞,かっこく【各国】,"それぞれの国。

",名詞 level2,19473
각선미,名詞,きゃくせんび【脚線美】。びきゃく【美脚】,足の曲線から伝わる美しさ。,名詞 level2,14914
각오,名詞,かくご【覚悟】,"きたるべきつらいことを受けとめる心構え。

",名詞 level2,16209
각오하다,動詞,かくごする【覚悟する】,来るべきつらいことを受けとめる心構えをする。,動詞 level2,15033
각자,副詞/名詞,かくじ【各自】 | かくじで【各自で】,"それぞれの人。また、それぞれ自分自身。
 | 別々に。

",副詞 名詞 level2,"16208,16207"
각종,名詞,かくしゅ【各種】。しょしゅ【諸種】。しゅじゅ【種種】,様々な種類。,名詞 level2,59933
각층,名詞,かくそう【各層】,様々な階層。また、それぞれの階層。,名詞 level2,15154
간,依存名詞/名詞,"あじつけ【味付け】 | きも【肝】。かんぞう【肝臓】
 | あいだ・かん【間】","塩辛さを出すため、食べ物に入れる塩、カンジャン、テンジャンなどの調味料の総称。 | 人間や動物の体内で解毒作用をする器官。
 | ２つの場所と場所の間。",依存名詞 名詞 level2,"16203,16269,29630"
간격,名詞,かんかく【間隔】,距離や時間がへだたった度合い。,名詞 level2,16201
