word,pos,meaning,definition,target_code
가-,접사,かり【仮」	,"「偽物の」または「臨時の」の意を付加する接頭辞。
",72340
가가호호,명사,いえごと【家ごと】。こごと【戸ごと】,一軒一軒。,14875
가격대,명사,かかくたい【価格帯】,物やサービスなどの価格の範囲。,600018
가격 인상,,ねあげ【値上げ】。かかくひきあげ【価格引き上げ】	,"値段や料金を高くすること。
",15065
가격 인하,,ねさけ【値下げ】。かかくひきさげ【価格引き下げ】	,"値段や料金を安くすること。
",15082
가격 파괴,,かかくはかい【価格破壊】。げきやす【激安】	,"通常知られた価格に比べて物の価格を極めて安くすること。
",27753
가계약,명사,かりけいやく【仮契約】。かりやくそく【仮約束】,臨時の契約。,27927
가공성,명사,かこうせい【加工性】,技術や力などによって原料や材料が新しい製品につくられる性質。,27965
가공식품,명사,かこうしょくひん【加工食品】,保存性と調理の利便性を高めるために原料を特別な方法で加工して新しくつくった食品。 ,27968
가공품,명사,かこうひん【加工品】。かこうせいひん【加工製品】,原料や材料を加工して新しくつくった製品。,28025
가구재,명사,かぐざい【家具材】かぐのざいりょう【家具の材料】,家具をつくるための材料。,28041
가극,명사,かげき【歌劇】。オペラ,台詞を音楽の演奏に合わせて歌う西洋式演劇。,28043
가꾸다,동사,さいばいする【栽培する】。そだてる【育てる】。つくる,植物がよく育つように世話をする。,28757
가난,명사,びんぼう【貧乏】。まずしさ【貧しさ】,金がなくて生活が苦しいこと。また、その状態。,16391
가난뱅이,명사,びんぼうにん【貧乏人】,貧しい人を卑しめていう語。,28069
가난하다,형용사,まずしい【貧しい】。びんぼうだ【貧乏だ】,お金がなくて生活が苦しい。,62495
가능,명사,かのう【可能】,"出来たりなりうること。
",15310
가능성,명사,かのうせい【可能性】,物事が将来実現できる性質。,62399
가능하다,형용사,かのうだ【可能だ】。できる【出来る】,やることができる、可能である。,62658
가다,보조 동사,いく	,前の言葉の表す動作や状態・状態の変化が継続したり進行したりする意を表す「補助動詞」。,28764
가두다,동사,とじこめる【閉じ込める】。かんきんする【監禁する】,人や動物をある場所に入れて、外に出られないようにする。,14835
가드레일,명사,ガードレール。ぼうごさく【防護柵】,自動車が道路わきへ飛び出すことを防ぐために路側や車道の中央帯に設ける柵。,14837
가득하다,형용사,いっぱいだ【一杯だ】,数や量が決められた範囲に溢れんばかりに満ちている。,62252
가득히,부사,いっぱい【一杯】。いっぱいに【一杯に】。ぎっしり。ぎっしりと。なみなみ。なみなみと ,何かの数量が決められた範囲に詰まっている様子。,15313
가라앉다,동사,しずむ【沈む】。ちんでんする【沈殿する】。ちんぼつする【沈没する】,水などの上に浮いていたり、混ざっていたものが底におりる。,16401
가라오케,명사,カラオケ,歌の伴奏だけが録音されている機械。,14845
가랑비,명사,こさめ・こあめ【小雨】,細く降る雨。,14856
가래침,명사,たんつば【痰唾】。たん【痰】,"白色、または黄色のねばねばした液体の混ざったつば。
",14937
가려움증,명사,かゆみ。ひふそうようしょう【皮膚瘙痒症】,皮膚がかゆい症状。,14960
가렵다,형용사,かゆい【痒い】,皮膚を掻きたい感じがする。,14974
가로,명사,よこ【横】,左から右につながる方向。また、その長さ。,62253
가로,명사,がいろ【街路】。こうろ【行路】,"車道と歩道に区分されている都市の一般道路。
",14986
가로대,명사,よこぼう【横棒】。よこぎ【横木】。バー,横に渡した棒。,14904
가로등,명사,がいとう【街灯】。がいろとう【街路灯】,街路を明るくするために街に取り付けた電灯。,15327
가로막다,동사,ふさぐ【塞ぐ】。さえぎる【遮る】,遮って通れないようにする。,16414
가로무늬,명사,よこじま【横縞】。よこもよう【横模様】,"横にできている模様。
",14938
가로세로,명사,よこたて【横縦】,"横と縦。
",14946
가로쓰기,명사,よこがき【横書き】,"文字を横に書く方法。
",14958
가로줄,명사,おうせん【横線】。よこせん【横線】,左右の方向に引いた線。,14989
가로축,명사,よこじく【横軸】。よこせん【横線】。よこざひょう【横座標】,"座標平面で横にある軸。
",15058
가로획,명사,"よこかく【横画】
",字を書く時、横にひく字画。,15163
가루,명사,こな【粉】。パウダー。ふんまつ【粉末】,"硬い物体がとても小さく砕かれたり削られたもの。
",65209
가르다,동사,わける【分ける】。さく【裂く・割く】。わる【割る】,切って開いたり、いくつかの部分にしたりする。,16345
가르마,명사,かみのわけめ【髪の分け目】,"額から頭の後ろに髪の毛を両側に分けたときできる折り目。
",15188
가리개,명사,"まじきり【間仕切り】。パーティション
","ある空間を隠すために立てる家具。
",15200
가리다,동사,さえぎる【遮る】。ふさぐ【塞ぐ】,塞いだり隠したりして、見えなくしたり通れなくしたりする。,28767
가리다,동사,えらぶ【選ぶ】。よりわける【選り分ける】,多くの中から一つを区別して取り出す。,17290
가리비,명사,ほたてがい【帆立貝】,扇のような形の殻を持っている大きな貝。,15367
가마솥,명사,かま【釜】,料理に使う大きくて重い釜。,15374
가만,부사,"じっと
","動かず、何もいわずに。
",15299
가만두다,동사,ほうっておく【放って置く】,かかわったり触れたりしないで、そのままに置く。,15378
가만있다,동사,だまる【黙る】。おとなしくする,話したり動いたりしないで、静かにする。,15304
가만히,부사,"だまって【黙って】
","動かないか、何もいわずに。
",63790
가망,명사,のぞみ【望み】。みこみ【見込み】。きぼう【希望】,"望む通りに叶う可能性や希望。
",15379
