word,pos,meaning,definition,tags,target_codes
-개,接辞,,「その行為をするための簡単な道具」の意を付加し、名詞にする接尾辞。,接辞 other,92095
-거나,語尾,か。とか	,"前の言葉と後の言葉のうち、どちらかが選択されうるという意を表す「連結語尾」。 
",語尾 other,66346
-거니,語尾,だから。であるのに	,"前の事柄を認めながら、それが後の事柄の前提や条件になるという意を表す「連結語尾」で、古めかしい言い方。
",語尾 other,66489
-거니 하다,,だろうとおもう【だろうと思う】,ある事実を推測して認めるという意を表す表現。,other,66463
-거니와,語尾,だけでなく。ばかりではなく,前述の内容を認めたうえで、それと関連した他の事実もあるという意を表す「連結語尾」で、古めかしい言い方。,語尾 other,66495
-거든,語尾,れば。であるなら。たら。なら	,"「ある事が事実であれば、または事実として実現すれば」という意を表す「連結語尾」。
",語尾 other,66501
-거든요,,んですよ。んですもの。んですから,（略待上称）前の内容について話し手がそう考えた理由や原因、根拠を表す表現。,other,66503
-거들랑,語尾,れば。だったら。であったら。たら。なら	,"「ある事が事実であれば、または事実として実現すれば」という意を表す「連結語尾」。
",語尾 other,66511
-거라,語尾,なさい。しろ。せよ	 ,"(下称) 命令の意を表す「終結語尾」。
",語尾 other,66953
-건,語尾,ようと。であろうと	,"複数のうちどれが実現しようと後の内容とは関係ないという意を表す「連結語尾」。
",語尾 other,78515
-건대,語尾,すれば。すると	,"話し手が自分の考えや願いなどを述べるにあたって、予めその旨を知らせるという意を表す「連結語尾」。 
",語尾 other,78410
-건마는,語尾,ではあるが。にもかかわらず,前の事柄からして期待されていたものとは異なる結果が後にくるという意を表す「連結語尾」。,語尾 other,66935
-건만,語尾,ではあるが。にもかかわらず	,"前の事柄からして期待されていたものとは異なる結果が後にくるという意を表す「連結語尾」。
",語尾 other,66934
-걸랑,語尾,れば。だったら。であったら。たら。なら	,"「ある事が事実であれば、または事実として実現すれば」という意を表す「連結語尾」。
",語尾 other,66936
-것다,語尾,よな。だろう。であろう,"(下称)経験上、間違いないと思ったり、念を押して確かめたりする意を表す「終結語尾」で、古めかしい言い方。
",語尾 other,79269
-게,語尾,…く。…に。ように。ほど	 | だよね。よね | なさい	,"前の事柄が後の事柄の目的・結果・方法・程度などになるという意を表す「連結語尾」。
 | (略待下称) 前の事柄がそうであれば次にはこんな事柄がくると推測し、それを尋ねる意を表す「終結語尾」。 | (等称) 目下や親しい関係の人に命令する意を表す「終結語尾」。
",語尾 other,"77326,66938,66967"
-게 되다,,ようになる。ことになる	,"前の言葉の表す状態や状況になるという意を表す表現。
",other,77329
-게 마련이다,,ようになっている。ことになっている。ものだ,ある物事が起こったりある状態になって当然であるという意を表す表現。,other,77328
-게 만들다,,させる。ようにする。くする。にする	,"前の言葉の表す状態や状況をつくるという意を表す表現。
",other,77325
-게 생겼다,,ようになっている。ようになった。ことになっている。ことになった,前の言葉の表す状況におかれるという意を表す表現。,other,66973
-게 하다,,させる。ようにする,"人にある行動をさせたり物を作動させたりするという意を表す表現。
",other,66975
-게끔,語尾,ように,前の事柄が後の事柄の目的・結果・方法・程度などになるということを強調していう「連結語尾」。,語尾 other,88382
-게나,語尾,なさい	,"(等称) 親しみをこめて命令する意を表す「終結語尾」。
",語尾 other,66968
-게요,,んでしょうか。んですか,（略待上称）前の内容がそうであれば後の内容はこうだろうと推測して尋ねるという意を表す表現。,other,86170
-겠-,語尾,だろう,未来の事や推量を表す語尾。,語尾 other,90137
-경,接辞,きょう【鏡】	,"「何かを見るための器具」の意を付加する接尾辞。
",接辞 other,72354
-고,語尾,て | の。だ。のか	,"二つ以上の対等な事柄を並べ立てるのに用いる「連結語尾」。 | (略待下称) 主に誰かの話に対する返事として使用され、次にくる質問表現を省略したまま文を終わらせるのに用いる「終結語尾」。
",語尾 other,"78583,85022"
-고 계시다,,ていらっしゃる。なさっている,前の言葉の表す行動が引き続き行われるという意を表す尊敬語。,other,72221
-고 나다,品詞なし,てしまう。…おえる【…終える】	,"前の言葉の表す行動が終わったという意を表す表現。
",品詞なし other,73990
-고 들다,,ようとする	,"前の言葉の表す行動を急いで行うという意を表す表現。
",other,66955
-고 말다,,てしまう	,"前の言葉の表す事態が残念ながら起こってしまったという意を表す表現。
",other,66993
-고 보다,,てみる。ておく,前の言葉が意味する行動を先にして、その後のことは後で考えることを表す表現。,other,75165
-고 싶다,,たい	,"前の言葉の表す行動をしたいという意を表す表現。
",other,75269
-고 싶어 하다,,たがる	,"前の言葉の表す行動をしたい、またはそうなってほしいという意を表す表現。
",other,75270
-고 있다,,ている	,"前の言葉の表す行動が引き続き行われるという意を表す表現。
",other,72238
-고 해서,,こともあって	,"前の言葉の内容が後の言葉の表す行為をするいくつかの理由のうち一つに当たるという意を表す表現。
",other,77336
-고는,語尾,ては	 | ては	,"同じ事が繰り返されるという意を表す「連結語尾」。
 | 前の事柄が後の事柄の前提や条件になるという意を表す「連結語尾」。
",語尾 other,"66989,66990"
-고는 하다,品詞なし,たりする。ことがある	,"同じ状況が繰り返されるという意を表す表現。
",品詞なし other,78547
-고도,語尾,ても。てもなお,ある事実や感じをいいながら、それとは反対の特性や異なる特性があるということを続けて言うのに用いる「連結語尾」。,語尾 other,78539
-고말고,語尾,とも	,"(略待下称) 相手の話に対して肯定的な返答をするか同意を表しながらその旨を強調する意を表す「終結語尾」。
",語尾 other,66991
-고말고요,,ですとも。ますとも,"(略待上称)相手の質問に肯定的な返事をしたり相手の話に同意を表明しながらその旨を強調するのに用いる表現。
",other,66992
-고서,語尾,てから,前に述べる事柄が後に述べる事柄より先に起こったり、または、後に述べる事柄の理由や原因になったことを強調していう「連結語尾」。,語尾 other,78584
-고서는,,てから。ては,前に述べる事柄が後に述べる事柄より先に起こったり、または、後に述べる事柄の理由や原因になったことを強調していう表現。,other,78591
-고서야,品詞なし,てはじめて【て初めて】。てやっと,前の言葉の表す行動や状況があってはじめて、後にくる言葉の表す状況に至るという意を強調するのに用いる表現。,品詞なし other,78594
-고야,語尾,て,動作や行為が終わったこと、または最終段階に至ってようやく実現したことを強調していう「連結語尾」。,語尾 other,78597
-고요,,ですか。のですか	,"(略待上称)相手に尋ねるのに用いる表現。
",other,83912
-고자,語尾,ようと	,"話し手が何らかの目的や意図・希望などを持っている意を表す「連結語尾」。
",語尾 other,78612
-곤,語尾,たり	 | て。ては	,"同じ事が繰り返されるという意を表す「連結語尾」。 
 | 前にくる言葉が後にくる言葉の前提や条件になるという意を表す「連結語尾」。
",語尾 other,"89952,89954"
-곤 하다,品詞なし,たりする。ことがある	,"同じ状況が繰り返されるという意を表す表現。
",品詞なし other,78617
-구,接辞,くち・ぐち【口】。こう【溝】	,"「穴」または「すき間のある所」の意を付加する接尾辞。
",接辞 other,92115
-구나,語尾,（だ）な。（だ）ね	,"(下称) 新しく知った事実に何らかの感情をこめて述べるという意を表す「終結語尾」。
",語尾 other,73807
-구려,語尾,（だ）ね。（だ）なあ,"(中称) 新しく知った事実に感嘆する意を表す「終結語尾」。
",語尾 other,73809
-구만,語尾,,,語尾 other,85029
-구먼,語尾,（だ）ね。（だ）なあ,"(略待下称) 新しく知った事実に注目したり感嘆する意を表す「終結語尾」。
",語尾 other,73886
-구먼요,品詞なし,んですね	,"(略待上称)新しく知った事実に注目したり感嘆するという意を表す表現。
",品詞なし other,86169
