순위,단어,품사,품사 이름,품사 (일본어),풀이（意味）,등급
1195,가게,명,명사,名詞,,A
898,가격,명,명사,名詞,價格,B
2986,가구,명,명사,名詞,"家口, 家具",B
4964,가까워지다,동,동사,動詞,,B
1695,가까이,"부, 명","부사, 명사","副詞, 名詞",,B
648,가깝다,형,형용사,形容詞,,A
1747,가꾸다,동,동사,動詞,,B
852,가끔,부,부사,副詞,,A
5071,가난,명,명사,名詞,,C
1716,가난하다,형,형용사,形容詞,,B
2757,가늘다,형,형용사,形容詞,,B
6942,가능,명,명사,名詞,可能,C
483,가능성,명,명사,名詞,可能性,B
501,가능하다,형,형용사,形容詞,可能-,B
6003,가능해지다,동,동사,動詞,可能-,C
25,가다,"동, 보","동사, 보조 용언","動詞, 補助用言",,A
1196,가득,부,부사,副詞,~ 차다,B
3561,가득하다,형,형용사,形容詞,,B
7971,가득히,부,부사,副詞,,C
3173,가라앉다,동,동사,動詞,,C
6170,가려지다,동,동사,動詞,,C
1956,가령,부,부사,副詞,假令,C
9014,가로,명,명사,名詞,~와 세로,B
5311,가로등,명,명사,名詞,街路燈,C
4576,가로막다,동,동사,動詞,,C
8286,가로수,명,명사,名詞,街路樹,C
2789,가루,명,명사,名詞,분필 ~,B
4177,가르다,동,동사,動詞,,C
698,가르치다,동,동사,動詞,,A
2884,가르침,명,명사,名詞,,C
2305,가리다,동,동사,動詞,"시야를 ~, 시비를 ~",B
1367,가리키다,동,동사,動詞,,B
9888,가만,부,부사,副詞,,C
7158,가만있다,동,동사,動詞,,C
1706,가만히,부,부사,副詞,,B
4755,가뭄,명,명사,名詞,,C
1530,가방,명,명사,名詞,~을 메다,A
1189,가볍다,형,형용사,形容詞,,A
4483,가사,명,명사,名詞,歌詞,C
3784,가상,명,명사,名詞,假想,C
2000,가수,명,명사,名詞,歌手,A
2053,가스,명,명사,名詞,gas,B
384,가슴,명,명사,名詞,,A
3904,가슴속,명,명사,名詞,,B
6526,가요,명,명사,名詞,歌謠,B
264,가운데,명,명사,名詞,,A
6172,가위,명,명사,名詞,기구,B
1268,가을,명,명사,名詞,,A
5167,가이드,명,명사,名詞,guide,B
4397,가입,명,명사,名詞,加入,C
4484,가입자,명,명사,名詞,加入者,C
5168,가입하다,동,동사,動詞,加入-,C
127,가장,"부, 명","부사, 명사","副詞, 名詞",家長,A
715,가정,명,명사,名詞,"家庭, 假定",B
6349,가정교사,명,명사,名詞,家庭敎師,C
3512,가져가다,동,동사,動詞,,B
5704,가져다주다,동,동사,動詞,,B
1060,가져오다,동,동사,動詞,,A
409,가족,명,명사,名詞,家族,A
5072,가죽,명,명사,名詞,,B
129,가지,"명, 의","명사, 의존 명사","名詞, 依存名詞","~를 치다, 한 ~",B
94,가지다,"동, 보","동사, 보조 용언","動詞, 補助用言",,A
4668,가짜,명,명사,名詞,假-,B
550,가치,명,명사,名詞,價値,C
3063,가치관,명,명사,名詞,價値觀,C
8645,가톨릭,명,명사,名詞,Catholic,C
3099,가하다,동,동사,動詞,加-,C
422,각,관,관형사,冠形詞,各,B
751,각각,"부, 명","부사, 명사","副詞, 名詞",各各,B
2885,각국,명,명사,名詞,各國,B
3213,각기,부,부사,副詞,各其,C
5706,각오,명,명사,名詞,覺悟,C
3562,각자,"명, 부","명사, 부사","名詞, 副詞",各自,B
815,각종,명,명사,名詞,各種,B
335,간,"명, 의","명사, 의존 명사","名詞, 依存名詞","음식의 ~을 보다, 肝, 間. 서울과 부산 ~",B
4179,간격,명,명사,名詞,間隔,C
1336,간단하다,형,형용사,形容詞,簡單-,B
2987,간단히,부,부사,副詞,簡單-,B
2187,간부,명,명사,名詞,幹部,C
4577,간섭,명,명사,名詞,干涉,C
8290,간식,명,명사,名詞,間食,B
4034,간신히,부,부사,副詞,艱辛-,C
3100,간장,명,명사,名詞,-醬,B
4756,간접,명,명사,名詞,間接,C
6735,간접적,명,명사,名詞,間接的,C
3906,간판,명,명사,名詞,看板,C
7160,간편하다,형,형용사,形容詞,簡便-,C
7977,간호,명,명사,名詞,看護,C
7438,간호사,명,명사,名詞,看護師,A
3786,간혹,부,부사,副詞,間或,C
3621,갇히다,동,동사,動詞,,C
2401,갈다,동,동사,動詞,"바꾸다, 문지르다",B
1010,갈등,명,명사,名詞,葛藤,C
12246,갈비,명,명사,名詞,,A
38470,갈비탕,명,명사,名詞,-湯,B
3342,갈색,명,명사,名詞,褐色,B
3723,갈수록,부,부사,副詞,,C
4035,갈아입다,동,동사,動詞,,B
9018,갈아타다,동,동사,動詞,,B
4578,갈증,명,명사,名詞,渴症,C
5312,감,명,명사,名詞,"과일, 感",B
1240,감각,명,명사,名詞,感覺,C
3343,감기,명,명사,名詞,感氣,A
2125,감다,동,동사,動詞,"눈을 ~, 실을 ~",B
671,감독,명,명사,名詞,監督,C
2432,감동,명,명사,名詞,感動,B
7161,감동적,명,명사,名詞,感動的,C
6352,감사,명,명사,名詞,感謝,A
3847,감사하다,"형, 동","형용사, 동사","形容詞, 動詞",感謝-,A
6530,감상,명,명사,名詞,鑑賞,B
4321,감상하다,동,동사,動詞,鑑賞-,B
5170,감소,명,명사,名詞,減少,C
9431,감소되다,동,동사,動詞,減少-,C
4485,감소하다,동,동사,動詞,減少-,C
5445,감수성,명,명사,名詞,感受性,C
3174,감싸다,동,동사,動詞,,C
3385,감옥,명,명사,名詞,監獄,C
3513,감자,명,명사,名詞,,B
846,감정,명,명사,名詞,感情,B
9892,감정적,명,명사,名詞,感情的,C
2092,감추다,동,동사,動詞,,C
3563,감히,부,부사,副詞,敢-,C
7979,갑,명,명사,名詞,匣,C
475,갑자기,부,부사,副詞,,A
4580,갑작스럽다,형,형용사,形容詞,,C
