번호,순위,단어,단어번호,품사,품사 이름,품사 (일본어),풀이（意味）,등급
1,1,것,01,의,의존 명사,依存名詞,,A
2,2,하다,01,"동, 보","동사, 보조 용언","動詞, 補助用言",,A
3,3,있다,01,"보, 형, 동","보조 용언, 형용사, 동사","補助用言, 形容詞, 動詞",,A
4,5,되다,01,동,동사,動詞,어른이 ~,A
5,6,수,"02, 26","의, 명","의존 명사, 명사","依存名詞, 名詞","방법, 數. ~를 세다",A
6,8,나,03,대,대명사,代名詞,,A
7,9,그,"01, 02","관, 대, 감","관형사, 대명사, 감탄사","冠形詞, 代名詞, 感嘆詞",,A
8,10,없다,01,형,형용사,形容詞,,A
9,11,않다,,"보, 동","보조 용언, 동사","補助用言, 動詞",,A
10,12,사람,,명,명사,名詞,,A
11,13,우리,03,대,대명사,代名詞,,A
12,14,이,"03, 04, 05, 09","명, 의, 관, 대, 수","명사, 의존 명사, 관형사, 대명사, 수사","名詞, 依存名詞, 冠形詞, 代名詞, 数詞","신체, 二",A
13,16,아니다,,형,형용사,形容詞,,A
14,17,보다,"01, 02","동, 보, 부","동사, 보조 용언, 부사","動詞, 補助用言, 副詞",한층 더,A
15,18,등,"01, 04, 05","명, 의","명사, 의존 명사","名詞, 依存名詞","신체의 일부, 等. 1~, 等",B
16,19,때,"01, 02",명,명사,名詞,"시간, 더러운 물질",A
17,20,거,01,"의, 대","의존 명사, 대명사","依存名詞, 代名詞",것,A
18,22,같다,,형,형용사,形容詞,,A
19,23,주다,01,"보, 동","보조 용언, 동사","補助用言, 動詞",,A
20,24,대하다,02,동,동사,動詞,對-,B
21,25,가다,01,"동, 보","동사, 보조 용언","動詞, 補助用言",,A
22,26,년,02,의,의존 명사,依存名詞,年,A
23,27,한,"01, 05, 06","관, 명","관형사, 명사","冠形詞, 名詞","恨, 限",A
24,28,말,"01, 05, 11","명, 의","명사, 의존 명사","名詞, 依存名詞","~과 글, 동물, 末",A
25,29,일,"01, 05, 07","명, 수, 의","명사, 수사, 의존 명사","名詞, 数詞, 依存名詞","一, 하루",A
26,31,때문,,의,의존 명사,依存名詞,,A
27,32,말하다,,동,동사,動詞,,A
28,33,위하다,01,동,동사,動詞,爲-,B
29,34,그러나,,부,부사,副詞,,A
30,35,오다,01,"동, 보","동사, 보조 용언","動詞, 補助用言",,A
31,36,알다,,동,동사,動詞,,A
32,37,씨,"01, 07","명, 의","명사, 의존 명사","名詞, 依存名詞","~를 심다, 氏",A
33,38,그렇다,,형,형용사,形容詞,,A
34,39,크다,01,"형, 동","형용사, 동사","形容詞, 動詞",,A
35,40,또,,부,부사,副詞,,A
36,42,사회,07,명,명사,名詞,社會,B
37,43,많다,,형,형용사,形容詞,,A
38,44,안,"01, 02, 04","명, 부","명사, 부사","名詞, 副詞","집 ~, 아니, 案",A
39,45,좋다,01,형,형용사,形容詞,,A
40,46,더,01,부,부사,副詞,,A
41,47,받다,01,동,동사,動詞,선물을 ~,A
42,48,그것,,대,대명사,代名詞,,A
43,49,집,01,명,명사,名詞,,A
44,50,나오다,,동,동사,動詞,,A
45,51,따르다,"01, 02",동,동사,動詞,"뒤를 ~, 물을 ~",B
46,52,그리고,,부,부사,副詞,,A
47,53,문제,06,명,명사,名詞,問題,A
48,54,그런,01,관,관형사,冠形詞,,B
49,55,살다,01,동,동사,動詞,,A
50,56,저,"03, 04, 05","대, 관, 감","대명사, 관형사, 감탄사","代名詞, 冠形詞, 感嘆詞","일인칭 대명사, 멀리 있는 대상",A
51,57,못하다,,"보, 동, 형","보조 용언, 동사, 형용사","補助用言, 動詞, 形容詞",,A
52,58,생각하다,,동,동사,動詞,,A
53,59,모르다,,동,동사,動詞,,A
54,60,속,01,명,명사,名詞,,A
55,61,만들다,,동,동사,動詞,,A
56,62,데,01,의,의존 명사,依存名詞,,B
57,63,두,01,관,관형사,冠形詞,,A
58,64,앞,,명,명사,名詞,,A
59,65,경우,03,명,명사,名詞,境遇,B
60,66,중,04,의,의존 명사,依存名詞,中,B
61,67,어떤,,관,관형사,冠形詞,,A
62,68,잘,02,부,부사,副詞,,A
63,69,그녀,,대,대명사,代名詞,-女,C
