등급,어휘,표준동형어번호,품사,어종,원어,의미,분야
2등급,가능성,0,명사,한자어,可能性,"「1」앞으로 실현될 수 있는 성질이나 정도.
「2」앞으로 성장할 수 있는 성질이나 정도.",일반어/일반어
2등급,가닥,0,명사,고유어,,"「1」한군데서 갈려 나온 낱낱의 줄.
「2」빛이나 물 따위의 줄기.
「3」한군데서 갈려 나온 낱낱의 줄이나 줄기 따위를 세는 단위.
「4」아주 약간.",일반어/일반어/일반어/일반어
2등급,가득가득,1,부사,고유어,,"「1」분량이나 수효 따위가 어떤 범위나 한도에 여럿이 다 또는 매우 꽉 찬 모양.
「2」여럿이 다 빈 데가 없을 만큼 사람이나 물건 따위가 매우 많은 모양.
「3」냄새나 빛 따위가 공간에 매우 널리 퍼져 있는 상태.
「4」감정이나 정서, 생각 따위가 매우 많거나 강한 모양.",일반어/일반어/일반어/일반어
2등급,가라앉히다,0,동사,고유어,,"[1]물 따위에 떠 있거나 섞여 있는 것을 밑바닥으로 내려앉게 하다. ‘가라앉다[1]「1」’의 사동사.
[2]「1」흥분이나 아픔, 괴로움 따위를 수그러들게 하거나 사라지게 하다. ‘가라앉다[2]「2」’의 사동사.
[2]「2」떠들썩하던 것을 조용하게 하다. ‘가라앉다[2]「5」’의 사동사.
[2]「3」세차게 일어나던 것을 뜸하게 하다. ‘가라앉다[2]「6」’의 사동사.
[2]「4」성하던 것의 활기를 떨어뜨리다. ‘가라앉다[2]「7」’의 사동사.",일반어
2등급,가루약,0,명사,혼종어,가루藥,가루로 된 약.,전문어(약학)
2등급,가마,5,명사,고유어,,"예전에, 한 사람이 안에 타고 둘이나 넷이 들거나 메던, 조그만 집 모양의 탈것. 연(輦), 덩, 초헌(軺軒), 남여(籃輿), 사인교(四人轎) 따위가 있다.",일반어
2등급,가문,1,명사,한자어,家門,가족 또는 가까운 일가로 이루어진 공동체. 또는 그 사회적 지위.,일반어
2등급,가사,9,명사,한자어,歌詞,"가곡, 가요, 오페라 따위로 불릴 것을 전제로 하여 쓰인 글.",일반어
2등급,가슴속,0,명사,고유어,,마음의 속.,일반어
2등급,가습기,0,명사,한자어,加濕器,수증기를 내어 실내의 습도를 조절하는 전기 기구.,일반어
2등급,가을바람,0,명사,고유어,,가을에 부는 선선하고 서늘한 바람.,일반어
2등급,가입,0,명사,한자어,加入,"「1」조직이나 단체 따위에 들어가거나, 서비스를 제공하는 상품 따위를 신청함.
「2」새로 더 집어넣음.
「3」조약문의 인증 절차 없이, 그 조약에 드는 행위. 의사 표시만으로 당사자가 될 수 있게 하여 법 공동체를 확대하려는 데 목적이 있다.",일반어/일반어/전문어(법률)
2등급,가입하다,0,동사,혼종어,加入하다,"[1]「1」조직이나 단체 따위에 들어가거나, 서비스를 제공하는 상품 따위를 신청하다.
[1]「2」조약문의 인증 절차 없이, 그 조약에 들다. 의사 표시만으로 당사자가 될 수 있게 하여 법 공동체를 확대하려는 데 목적이 있다.
[2]새로 더 집어넣다.",일반어/전문어(법률)
2등급,가장,6,명사,한자어,家長,"「1」한 가정을 이끌어 나가는 사람.
「2」‘남편01’을 달리 이르는 말.",일반어/일반어
2등급,가재,1,명사,고유어,,"가잿과의 하나. 게와 새우의 중간 모양인데 앞의 큰 발에 집게발톱이 있다. 뒷걸음질을 잘하며 폐디스토마를 옮긴다. 개울 상류의 돌 밑에 사는데 한국, 일본 등지에 분포한다.",전문어(동물)
2등급,가정집,1,명사,혼종어,家庭집,개인의 살림집.,일반어
2등급,가족사진,0,명사,한자어,家族寫眞,가족들이 함께 찍은 사진.,일반어
2등급,가족회의,0,명사,한자어,家族會議,가족끼리 하는 회의.,일반어
2등급,가지가지,1,명사,고유어,,이런저런 여러 가지.,일반어
2등급,가치,4,명사,한자어,價値,"「1」사물이 지니고 있는 쓸모.
「2」대상이 인간과의 관계에 의하여 지니게 되는 중요성.
「3」인간의 욕구나 관심의 대상 또는 목표가 되는 진, 선, 미 따위를 통틀어 이르는 말.",일반어/전문어(철학)
2등급,가파르다,0,형용사,고유어,,산이나 길이 몹시 기울어져 있다.,일반어
2등급,각오,1,명사,한자어,覺悟,"「1」앞으로 해야 할 일이나 겪을 일에 대한 마음의 준비.
「2」도리를 깨쳐 앎.",일반어/일반어
2등급,각오하다,1,동사,혼종어,覺悟하다,"「1」앞으로 해야 할 일이나 겪을 일에 대한 마음의 준비를 하다.
「2」도리를 깨쳐 알다.",일반어/일반어
2등급,각종,0,명사,한자어,各種,온갖 종류. 또는 여러 종류.,일반어
2등급,간신히,0,부사,혼종어,艱辛히,겨우 또는 가까스로.,일반어
2등급,간절하다,0,형용사,혼종어,懇切하다,"「1」정성이나 마음 씀씀이가 더없이 정성스럽고 지극하다.
「2」마음속에서 우러나와 바라는 정도가 매우 절실하다.",일반어
2등급,간절히,0,부사,혼종어,懇切히,"「1」더없이 정성스럽고 지극한 마음으로.
「2」마음속에서 우러나와 바라는 정도가 매우 절실하게.",일반어/일반어
2등급,간직하다,0,동사,고유어,,"「1」물건 따위를 어떤 장소에 잘 간수하여 두다.
「2」생각이나 기억 따위를 마음속에 깊이 새겨 두다.",일반어
2등급,간질간질,0,부사,고유어,,"「1」자꾸 간지러운 느낌이 드는 상태.
「2」참기 어려울 정도로 자꾸 어떤 일을 하고 싶어 하는 상태.
「3」몹시 어색하거나 거북하거나 더럽고 치사하여 마음이 매우 자리자리한 느낌.",일반어/일반어/일반어
2등급,갈다,3,동사,고유어,,"「1」쟁기나 트랙터 따위의 농기구나 농기계로 땅을 파서 뒤집다.
「2」주로 밭작물의 씨앗을 심어 가꾸다.",일반어/일반어
2등급,갈리다,2,동사,고유어,,"「1」쪼개지거나 나뉘어져 따로따로 되다. ‘가르다[1]’의 피동사.
「2」승부나 등수 따위가 서로 겨루어져 정해지다. ‘가르다[2]「3」’의 피동사.",일반어/일반어
2등급,갈리다,4,동사,고유어,,"「1」다른 물건에 문질러져 날카롭게 날이 서거나 표면이 매끄러워지다. ‘갈다02「1」’의 피동사.
「2」단단한 물건에 문질러져 잘게 부숴지거나 단단한 물건 사이에 넣어져 으깨지다. ‘갈다02「2」’의 피동사.
「3」벼루에 문질러져 먹이 풀어지다. ‘갈다02「3」’의 피동사.
「4」윗니와 아랫니가 맞대어 문질러지다. ‘갈다02「4」’의 피동사.
「5」갈이칼에 깎이다.",일반어/일반어/일반어/일반어/일반어
2등급,갈비뼈,0,명사,고유어,,"가슴을 구성하는 뼈. 좌우 열두 쌍이 있는데, 위쪽 일곱 쌍은 척추뼈에서 몸의 양쪽으로 굽어 흉골에 붙고 아래쪽 다섯 쌍은 짧아 앞이 서로 떨어져 있으며, 흉부의 기관을 보호한다.",전문어(의학)
2등급,갈비찜,0,명사,고유어,,소나 돼지 따위의 갈비를 양념과 간을 하여 국물이 바특하게 흠씬 삶은 음식.,일반어
2등급,갈아타다,0,동사,고유어,,타고 가던 것에서 내려 다른 것으로 바꾸어 타다.,일반어
2등급,갈증,0,명사,한자어,渴症,"「1」목이 말라 물을 마시고 싶은 느낌.
「2」목이 마른 듯이 무언가를 몹시 조급하게 바라는 마음을 비유적으로 이르는 말.",일반어/일반어
2등급,감,12,명사,한자어,感,"「1」느낌이나 생각.
「2」수신기나 측정기 따위가 전파나 소리를 받는 정도.",일반어/일반어
