등급,어휘,품사,日本語品詞,어종,원어,日本の漢字,外来語,의미,定義の日本語訳,日本語訳,tags
2등급,가능성,명사,名詞,한자어,可能性,可能性,,"「1」앞으로 실현될 수 있는 성질이나 정도.
「2」앞으로 성장할 수 있는 성질이나 정도.",「1」これから実現されうる性質や程度。 「2」これから成長しうる性質や程度。,可能性,等級:2 語種:漢字語 品詞:名詞
2등급,가닥,명사,名詞,고유어,,,,"「1」한군데서 갈려 나온 낱낱의 줄.
「2」빛이나 물 따위의 줄기.
「3」한군데서 갈려 나온 낱낱의 줄이나 줄기 따위를 세는 단위.
「4」아주 약간.",「1」一箇所から分かれた一本一本の糸。 「2」光や水などの筋。 「3」一箇所から分かれた一本一本の糸や筋などを数える単位。 「4」ほんのわずか。,筋,等級:2 語種:固有語 品詞:名詞
2등급,가득가득,부사,副詞,고유어,,,,"「1」분량이나 수효 따위가 어떤 범위나 한도에 여럿이 다 또는 매우 꽉 찬 모양.
「2」여럿이 다 빈 데가 없을 만큼 사람이나 물건 따위가 매우 많은 모양.
「3」냄새나 빛 따위가 공간에 매우 널리 퍼져 있는 상태.
「4」감정이나 정서, 생각 따위가 매우 많거나 강한 모양.",「1」量や数などが、ある範囲や限界に、すべて、または非常にいっぱいである様子。 「2」すべて、隙間なく人や物などが非常に多い様子。 「3」匂いや光などが空間に非常に広く満ちている状態。 「4」感情や情緒、考えなどが非常に多い、または強い様子。,ぎっしり,等級:2 語種:固有語 品詞:副詞
2등급,가라앉히다,동사,動詞,고유어,,,,"[1]물 따위에 떠 있거나 섞여 있는 것을 밑바닥으로 내려앉게 하다. ‘가라앉다[1]「1」’의 사동사.
[2]「1」흥분이나 아픔, 괴로움 따위를 수그러들게 하거나 사라지게 하다. ‘가라앉다[2]「2」’의 사동사.
[2]「2」떠들썩하던 것을 조용하게 하다. ‘가라앉다[2]「5」’의 사동사.
[2]「3」세차게 일어나던 것을 뜸하게 하다. ‘가라앉다[2]「6」’의 사동사.
[2]「4」성하던 것의 활기를 떨어뜨리다. ‘가라앉다[2]「7」’의 사동사.",[1]水などに浮かんでいるものや混ざっているものを底に沈める。「沈む」の使役。 [2]「1」興奮や痛み、苦しみなどを静めたり消えさせたりする。「沈む」の使役。 [2]「1」騒がしかったものを静かにさせる。「沈む」の使役。 [2]「3」激しく起きていたものをまばらにさせる。「沈む」の使役。 [2]「4」盛んだったものの活気を落とす。「沈む」の使役。,沈める,等級:2 語種:固有語 品詞:動詞
2등급,가루약,명사,名詞,혼종어,가루藥,,,가루로 된 약.,粉末状の薬。,粉薬,等級:2 語種:混種語 品詞:名詞
2등급,가마,명사,名詞,고유어,,,,"예전에, 한 사람이 안에 타고 둘이나 넷이 들거나 메던, 조그만 집 모양의 탈것. 연(輦), 덩, 초헌(軺軒), 남여(籃輿), 사인교(四人轎) 따위가 있다.",昔、一人が中に乗り、二人または四人で担いだ、小さな家のような乗り物。輦、덩、軺軒、籃輿、四人轎などがある。,駕籠,等級:2 語種:固有語 品詞:名詞
2등급,가문,명사,名詞,한자어,家門,家門,,가족 또는 가까운 일가로 이루어진 공동체. 또는 그 사회적 지위.,家族または近い親族で構成された共同体。またはその社会的地位。,家門,等級:2 語種:漢字語 品詞:名詞
2등급,가사,명사,名詞,한자어,歌詞,歌詞,,"가곡, 가요, 오페라 따위로 불릴 것을 전제로 하여 쓰인 글.",歌謡曲、歌、オペラなどの歌われることを前提として書かれた文章。,歌詞,等級:2 語種:漢字語 品詞:名詞
2등급,가슴속,명사,名詞,고유어,,,,마음의 속.,心の奥。,胸の内,等級:2 語種:固有語 品詞:名詞
2등급,가습기,명사,名詞,한자어,加濕器,加湿器,,수증기를 내어 실내의 습도를 조절하는 전기 기구.,水蒸気を出し、室内の湿度を調節する電気器具。,加湿器,等級:2 語種:漢字語 品詞:名詞
